"Year","University","Unit","Code","Degree","Cutoff","DegreeOnly"
2022,"Córdoba","Facultad de Filosofía y Letras",2503100,"Grado en Gestión Cultural (Facultad de Filosofía y Letras)",5,"Grado en Gestión Cultural"
2022,"Córdoba","Facultad de Filosofía y Letras",2503554,"Grado en Cine y Cultura (Facultad de Filosofía y Letras)",5,"Grado en Cine y Cultura"
2022,"Córdoba","Facultad de Filosofía y Letras",7000659,"Doble grado en Traducción e Interpretación y Estudios Ingleses (Facultad de Filosofía y Letras)",10.42,"Doble grado en Traducción e Interpretación y Estudios Ingleses"
2022,"Córdoba","Facultad de Filosofía y Letras",7000686,"Doble grado en Estudios Ingleses y Educación Primaria (Facultad de Filosofía y Letras)",11.966,"Doble grado en Estudios Ingleses y Educación Primaria"
2022,"Córdoba","Facultad de Filosofía y Letras",7000687,"Doble grado en Historia e Historia del Arte (Facultad de Filosofía y Letras)",10.989,"Doble grado en Historia e Historia del Arte"
2022,"Córdoba","Facultad de Filosofía y Letras",7000688,"Doble grado en Traducción e Interpretación, esp. Francés y Filología Hispánica (Facultad de Filosofía y Letras)",5,"Doble grado en Traducción e Interpretación, esp. Francés y Filología Hispánica"
2022,"Córdoba","Facultad de Filosofía y Letras",7000689,"Doble grado en Traducción e Interpretación, esp. Inglés y Filología Hispánica (Facultad de Filosofía y Letras)",9.189,"Doble grado en Traducción e Interpretación, esp. Inglés y Filología Hispánica"
2022,"Córdoba","Facultad de Ciencias de la Educación",2503722,"Grado en Psicología (Facultad de Ciencias de la Educación)",10.959,"Grado en Psicología"
2022,"Córdoba","Facultad de Veterinaria",2501787,"Grado en Veterinaria (Facultad de Veterinaria)",11.973,"Grado en Veterinaria"
2022,"Córdoba","Facultad de Medicina y Enfermería",2501318,"Grado en Medicina (Facultad de Medicina y Enfermería)",13.25,"Grado en Medicina"
2022,"Córdoba","Facultad de Medicina y Enfermería",2501321,"Grado en Enfermería (Facultad de Medicina y Enfermería)",12.24,"Grado en Enfermería"
2022,"Córdoba","Facultad de Medicina y Enfermería",2503277,"Grado en Fisioterapia (Facultad de Medicina y Enfermería)",11.788,"Grado en Fisioterapia"
2022,"Córdoba","Escuela Técnica Superior de Ingeniería Agronómica y de Montes",2502604,"Grado en Enología (Escuela Técnica Superior de Ingeniería Agronómica y de Montes)",5,"Grado en Enología"
